nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.61945e-05,0,7.18404e-06,6.6135,12.3097,0.274257,-0.159984,-1.33416e-07,-1.14426e-05,-8.24531e-07,-1.3156e-07,1,-13.5,0.621429,-0.200547,34,2
2.61945e-05,0,7.18419e-06,6.61375,12.313,0.274263,-0.159976,-6.05851e-08,-1.12547e-05,-2.2716e-06,1.97966e-06,1,-12.75,0.621429,-0.200547,35,2
2.61957e-05,0,7.1849e-06,6.61527,12.2675,0.274278,-0.159989,4.71822e-06,-9.49385e-06,-1.83417e-05,5.50045e-06,1,-12,0.621429,-0.200543,36,2
2.62024e-05,0,7.1878e-06,6.61879,12.0457,0.274318,-0.160033,1.40959e-05,-6.08294e-06,-3.3776e-05,8.45742e-07,1,-11.25,0.621429,-0.20052,37,2
2.62285e-05,0,7.19786e-06,6.61974,11.8036,0.274428,-0.160045,9.47676e-06,-5.47224e-06,-0.000441087,0.000281015,1,-10.5,0.621429,-0.200496,38,2
2.65022e-05,0,7.28394e-06,6.61137,12.5021,0.274841,-0.159903,-7.91053e-06,-6.97075e-05,0.000720721,-0.000529641,1,-9.76706,0.234019,-0.200569,39,2
2.6424e-05,0,7.26361e-06,6.60054,12.8637,0.274886,-0.159873,-2.87142e-05,-3.60516e-05,0.000940705,-3.23313e-05,1,-9.75,0.423214,-0.200604,40,2
2.64173e-05,0,7.26131e-06,6.60829,12.5756,0.274868,-0.159881,-2.64238e-05,-7.45066e-05,0.00100677,-6.93474e-05,1,-9.76729,0.423214,-0.200576,41,2
2.63337e-05,0,7.23568e-06,6.61002,12.3163,0.274768,-0.159906,-3.7481e-05,-6.65395e-05,0.00047814,0.00129987,0.999999,-9.7665,0.612705,-0.20055,42,2
2.63365e-05,0,7.23677e-06,6.60272,12.5793,0.274781,-0.159899,-4.01311e-05,-2.95769e-05,0.000664073,-0.000385841,1,-9.75,0.621429,-0.200575,43,2
2.62299e-05,0,7.1983e-06,6.62539,11.5953,0.274431,-0.160045,9.76368e-06,-3.83748e-05,-0.0003804,0.000446171,1,-10.4857,0.613882,-0.200476,44,2
2.62712e-05,0,7.20972e-06,6.62475,11.64,0.274434,-0.160038,4.5051e-06,-3.96103e-05,-0.000250849,-0.00141313,0.999999,-10.4856,0.232619,-0.20048,45,2
2.66332e-05,0,7.33296e-06,6.5969,13.8717,0.275329,-0.15984,-2.26319e-05,-5.34107e-05,0.000261883,-3.93928e-05,1,-9.375,0.423214,-0.200706,46,2
2.68604e-05,0,7.39708e-06,6.60011,13.9303,0.275387,-0.159863,1.4891e-06,-5.18543e-05,0.000255883,-1.70503e-05,1,-9.375,0.225,-0.200711,47,2
2.82219e-05,0,7.85545e-06,6.6696,14.6933,0.278309,-0.160839,0.000400516,-4.55071e-05,-0.000118415,8.55515e-05,1,-8.625,0.423214,-0.200781,48,2
2.71524e-05,0,7.50364e-06,6.61254,14.7898,0.276343,-0.160078,8.51109e-05,-6.46052e-05,0.000106997,3.96809e-05,1,-9,0.423214,-0.200797,49,2
2.91624e-05,0,8.12385e-06,6.68319,14.5777,0.278522,-0.161019,0.000323189,-3.92758e-05,-0.000118434,-1.48439e-05,1,-8.625,0.225,-0.200769,50,2
2.76277e-05,0,7.63838e-06,6.62073,14.7425,0.276461,-0.160161,8.99345e-05,-5.95065e-05,8.22875e-05,-2.47971e-05,1,-9,0.225,-0.200791,51,2
3.39517e-05,0,9.79686e-06,6.88181,13.7917,0.288249,-0.163709,0.00164085,7.647e-05,0.000195536,-0.000247545,1,-7.875,0.423214,-0.20067,52,2
3.02888e-05,0,8.54375e-06,6.76558,13.9513,0.281957,-0.162145,0.00095521,-1.32356e-05,-0.000140534,8.39477e-06,1,-8.25,0.423214,-0.200698,53,2
3.69109e-05,0,1.06645e-05,6.89905,14.196,0.288584,-0.164059,0.00113903,8.2858e-05,0.000346157,-0.000232145,1,-7.875,0.225,-0.200709,54,2
3.2026e-05,0,9.04504e-06,6.78676,13.981,0.28228,-0.162437,0.000714619,-3.84766e-07,-7.85722e-05,-6.3209e-05,1,-8.25,0.225,-0.200699,55,2
2.61939e-05,0,7.18409e-06,6.61322,12.3253,0.274265,-0.15999,1.5952e-06,-1.09471e-05,-2.22855e-06,-5.51298e-07,1,-14.25,1.01786,-0.200549,56,2
2.61941e-05,0,7.18407e-06,6.61297,12.3381,0.274263,-0.160001,2.04879e-06,-1.04842e-05,-1.81463e-06,-1.87943e-07,1,-15,1.01786,-0.20055,57,2
2.61936e-05,0,7.18413e-06,6.6135,12.3058,0.274271,-0.159984,2.03264e-07,-1.14299e-05,-4.00676e-07,-7.01652e-07,1,-13.5,1.01786,-0.200547,58,2
2.61932e-05,0,7.18423e-06,6.61349,12.3173,0.274278,-0.159974,-4.2121e-07,-1.159e-05,2.61598e-07,1.81051e-06,1,-12.75,1.01786,-0.200548,59,2
2.61932e-05,0,7.18461e-06,6.61471,12.3028,0.274293,-0.159983,5.44801e-06,-1.01311e-05,-1.59807e-05,8.76439e-06,1,-12,1.01786,-0.200546,60,2
2.61958e-05,0,7.18625e-06,6.61838,12.0844,0.274329,-0.160029,2.05728e-05,-6.29516e-06,-4.11239e-05,8.3885e-06,1,-11.25,1.01786,-0.200524,61,2
2.62077e-05,0,7.19181e-06,6.62142,11.7314,0.274416,-0.160061,2.17922e-05,-2.50056e-06,-0.000472123,0.00027763,1,-10.5,1.01786,-0.200488,62,2
2.63319e-05,0,7.23515e-06,6.60981,12.3107,0.274767,-0.159905,-3.70305e-05,-6.57553e-05,0.00081762,-0.000708363,0.999999,-9.76649,0.630144,-0.20055,63,2
2.62891e-05,0,7.22262e-06,6.60151,12.5107,0.274738,-0.159891,-5.96971e-05,-2.95089e-05,0.000921863,-9.88711e-05,1,-9.75,0.819643,-0.200568,64,2
2.62864e-05,0,7.22156e-06,6.60857,12.2496,0.274726,-0.159897,-5.582e-05,-6.52372e-05,0.000808818,-0.000115958,1,-9.76631,0.819643,-0.200544,65,2
