nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
1.38012e-05,0,3.4658e-06,5.64195,6.57644,0.251122,-0.0799977,0,-1.15528e-06,-6.15915e-07,-8.83032e-08,1,-14.25,0,-0.200063,0,2
1.3801e-05,0,3.46576e-06,5.64195,6.57627,0.251124,-0.0799977,3.0947e-07,-1.16228e-06,-5.39753e-07,-7.6967e-08,1,-14.25,0.225,-0.200063,1,2
1.38013e-05,0,3.4658e-06,5.64198,6.57858,0.251122,-0.0799988,0,-1.07922e-06,-2.78155e-07,-6.62274e-08,1,-15,0,-0.200063,2,2
1.38011e-05,0,3.46577e-06,5.64198,6.57845,0.251123,-0.079999,1.66487e-07,-1.08029e-06,-2.914e-07,-4.71348e-08,1,-15,0.225,-0.200063,3,2
1.38012e-05,0,3.46579e-06,5.64192,6.57056,0.251122,-0.0799975,0,-1.22266e-06,-8.27842e-07,-1.32455e-07,1,-13.5,0,-0.200062,4,2
1.38008e-05,0,3.46574e-06,5.64193,6.57031,0.251126,-0.0799975,5.42188e-07,-1.23231e-06,-8.2122e-07,-1.11572e-07,1,-13.5,0.225,-0.200062,5,2
1.38012e-05,0,3.46579e-06,5.64193,6.5643,0.251122,-0.0799983,0,-1.19533e-06,-6.35783e-07,-1.54531e-07,1,-12.75,0,-0.200062,6,2
1.38008e-05,0,3.46575e-06,5.64194,6.56397,0.251128,-0.0799983,7.74529e-07,-1.18554e-06,-6.92076e-07,-1.16345e-07,1,-12.75,0.225,-0.200062,7,2
1.38012e-05,0,3.46578e-06,5.64199,6.5605,0.251122,-0.0799991,0,-1.09734e-06,-2.45041e-07,-3.09061e-07,1,-12,0,-0.200061,8,2
1.38008e-05,0,3.46579e-06,5.642,6.55996,0.25113,-0.0799991,8.54052e-07,-1.05433e-06,-3.54317e-07,-1.44686e-07,1,-12,0.225,-0.200061,9,2
1.38012e-05,0,3.46578e-06,5.64212,6.56021,0.251122,-0.0799991,0,-7.62053e-07,1.457e-07,-6.40198e-07,1,-11.25,0,-0.200061,10,2
1.38009e-05,0,3.46585e-06,5.6421,6.55892,0.251132,-0.079999,7.03905e-07,-7.97657e-07,3.31137e-08,-3.09956e-07,1,-11.25,0.225,-0.200061,11,2
1.38011e-05,0,3.46578e-06,5.64221,6.56251,0.251123,-0.0799977,0,-4.3145e-08,-0.00098385,-0.00163612,0.999998,-10.5,0,-0.200062,12,2
1.3801e-05,0,3.4659e-06,5.64215,6.56041,0.251134,-0.0799976,6.32515e-07,-4.484e-07,-0.000656391,0.00104571,0.999999,-10.5,0.225,-0.200061,13,2
1.38009e-05,0,3.46574e-06,5.64346,6.51536,0.251123,-0.0799955,-7.59203e-10,1.83731e-06,0.000788494,-0.00130583,0.999999,-9.75171,0.000512903,-0.200057,14,2
1.38009e-05,0,3.46574e-06,5.64215,6.55004,0.251123,-0.0799955,0,1.93691e-06,0.000491926,-0.00327101,0.999995,-9.75,0,-0.20006,15,2
1.3801e-05,0,3.46576e-06,5.6421,6.56638,0.251124,-0.0799953,1.32381e-06,5.74176e-07,0.00098482,1.47809e-05,1,-9.75,0.1125,-0.200062,16,2
1.3801e-05,0,3.46576e-06,5.64344,6.53068,0.251124,-0.0799953,1.31799e-06,4.79336e-07,0.00118279,1.19262e-05,0.999999,-9.75176,0.1125,-0.200059,17,2
1.3801e-05,0,3.4659e-06,5.64348,6.52509,0.251134,-0.0799976,6.29142e-07,-5.36275e-07,-0.00065469,0.0010997,0.999999,-10.4983,0.224478,-0.200058,18,2
1.38011e-05,0,3.46578e-06,5.64355,6.52706,0.251123,-0.0799976,-7.74815e-10,-1.33529e-07,-0.000492107,-0.00327874,0.999995,-10.4983,0.000523451,-0.200058,19,2
1.3801e-05,0,3.46581e-06,5.64342,6.54168,0.251128,-0.0799955,7.41198e-07,-1.29379e-06,0.000494453,0.00329198,0.999994,-9.75179,0.224463,-0.20006,20,2
