nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.55266e-05,0,1.00084e-05,7.01407,22.3338,0.281715,-0.219989,0,-3.90242e-05,2.97361e-06,-2.0089e-05,1,-14.25,0,-0.201518,0,2
3.54564e-05,0,9.98851e-06,7.01411,22.2881,0.281712,-0.21999,-1.59908e-06,-3.88064e-05,-2.45704e-06,-1.90395e-05,1,-14.25,0.225,-0.201513,1,2
3.53924e-05,0,9.96714e-06,7.01196,22.4346,0.281618,-0.220022,0,-3.87804e-05,-1.49409e-05,-1.66231e-05,1,-15,0,-0.201528,2,2
3.53641e-05,0,9.95915e-06,7.0123,22.4062,0.281617,-0.220031,3.77463e-06,-3.81286e-05,-1.69608e-05,-1.46822e-05,1,-15,0.225,-0.201525,3,2
3.60148e-05,0,1.01582e-05,7.01471,22.418,0.282053,-0.21991,0,-4.41308e-05,7.41813e-05,-1.58063e-05,1,-13.5,0,-0.201526,4,2
3.58278e-05,0,1.0105e-05,7.0133,22.3731,0.282041,-0.219911,-1.55191e-05,-4.56283e-05,6.16312e-05,-1.7771e-05,1,-13.5,0.225,-0.201522,5,2
3.72485e-05,0,1.05366e-05,7.01607,23.1944,0.282859,-0.219868,0,-5.19134e-05,9.93941e-05,-3.90742e-06,1,-12.75,0,-0.201604,6,2
3.67774e-05,0,1.04021e-05,7.01298,23.1725,0.282828,-0.21985,1.2502e-05,-5.48058e-05,0.000107086,2.98799e-06,1,-12.75,0.225,-0.201602,7,2
4.01756e-05,0,1.14425e-05,7.04937,23.934,0.284745,-0.220389,0,-3.73038e-05,-2.36432e-05,-6.88765e-06,1,-12,0,-0.201675,8,2
3.90665e-05,0,1.11235e-05,7.04265,23.9394,0.284676,-0.220314,0.000217209,-4.18962e-05,-3.44381e-07,1.65944e-05,1,-12,0.225,-0.201676,9,2
4.65763e-05,0,1.34713e-05,7.15286,23.4543,0.288955,-0.221899,0,2.80171e-05,1.98351e-05,-0.000109606,1,-11.25,0,-0.201617,10,2
4.4171e-05,0,1.27697e-05,7.14473,23.3771,0.288855,-0.221748,0.00069703,2.62805e-05,-7.03004e-05,-9.6402e-05,1,-11.25,0.225,-0.20161,11,2
5.90668e-05,0,1.76153e-05,7.29209,24.3596,0.297423,-0.223816,0,9.99306e-05,0.000414926,-0.000820765,1,-10.5,0,-0.201695,12,2
5.43365e-05,0,1.61993e-05,7.2908,23.7632,0.297396,-0.22366,0.00127352,0.00011023,0.000326488,8.86124e-05,1,-10.5,0.225,-0.201635,13,2
8.42785e-05,0,2.65652e-05,7.34004,29.5837,0.313228,-0.224643,0.000189749,-0.000289182,0.00166455,-0.000874884,0.999998,-9.81671,0.0200138,-0.202224,14,2
8.75377e-05,0,2.77522e-05,7.35887,31.3909,0.31541,-0.224544,0,0.00017731,0.00152238,-0.00177918,0.999997,-9.75,0,-0.202397,15,2
8.79442e-05,0,2.80498e-05,7.35762,32.0341,0.317852,-0.224528,0.000882015,0.000193124,0.00203304,-0.000275884,0.999998,-9.75,0.1125,-0.202462,16,2
8.45422e-05,0,2.67861e-05,7.33898,30.0351,0.315201,-0.224631,0.000928932,-0.000281017,0.00200429,-0.00049322,0.999998,-9.81808,0.1125,-0.202269,17,2
5.59261e-05,0,1.6707e-05,7.28624,23.923,0.298014,-0.223846,0.00125915,-0.000210359,0.000685488,-1.02238e-05,1,-10.4503,0.210085,-0.201657,18,2
6.00965e-05,0,1.7956e-05,7.28726,24.3908,0.298045,-0.223988,0.000145429,-0.000230761,0.000719507,-0.00218683,0.999997,-10.4489,0.0153391,-0.201704,19,2
7.40917e-05,0,2.33366e-05,7.34228,29.0731,0.313496,-0.224702,0.00157758,-0.000258903,0.0012638,0.000829414,0.999999,-9.81516,0.205453,-0.202172,20,2
7.53471e-05,0,2.38902e-05,7.3596,30.5764,0.315706,-0.224614,0.00164987,0.00017887,0.00163702,-0.000893474,0.999998,-9.75,0.225,-0.202314,21,2
0.000102964,0,3.39759e-05,7.3519,36.2431,0.328993,-0.223728,0.000953981,0.000264431,0.00135496,-0.000905813,0.999999,-9.375,0.1125,-0.202886,22,2
0.000107979,0,3.5639e-05,7.34896,37.0558,0.329033,-0.223654,0,0.000269782,0.00143468,-0.000294138,0.999999,-9.375,0,-0.202968,23,2
0.000147149,0,5.40672e-05,7.2623,47.1878,0.365723,-0.220109,0.00137548,0.000259688,0.00131126,-0.00262189,0.999996,-8.625,0.1125,-0.203998,24,2
0.000123685,0,4.28878e-05,7.31014,41.5615,0.34541,-0.222026,0.00109384,0.000289626,0.00147206,-0.00155941,0.999998,-9,0.1125,-0.203426,25,2
0.000155384,0,5.72659e-05,7.26286,49.8238,0.366819,-0.219736,0,0.000282509,0.00159662,-0.00204624,0.999997,-8.625,0,-0.204263,26,2
0.000130194,0,4.52105e-05,7.30614,43.1487,0.345879,-0.221818,0,0.000315555,0.00163112,-0.00119196,0.999998,-9,0,-0.203586,27,2
0.000198946,0,8.33275e-05,7.30773,50.7602,0.416811,-0.216479,0.0022864,0.000162925,-0.000830816,-0.00368581,0.999993,-7.875,0.1125,-0.204355,28,2
0.000172645,0,6.7645e-05,7.26271,51.1727,0.389839,-0.21826,0.00179583,0.000237661,0.000500544,-0.00353303,0.999994,-8.25,0.1125,-0.2044,29,2
0.000211051,0,8.88962e-05,7.30732,55.8969,0.419271,-0.215859,0,-4.30368e-05,-0.000569946,-0.00428125,0.999991,-7.875,0,-0.204872,30,2
0.000182774,0,7.19418e-05,7.26382,55.2532,0.391661,-0.217732,0,0.000181158,0.000898344,-0.00321938,0.999994,-8.25,0,-0.204811,31,2
3.53445e-05,0,9.95638e-06,7.0134,22.2161,0.281695,-0.219996,1.12672e-07,-3.8845e-05,-7.88106e-06,-2.12438e-05,1,-14.25,0.621429,-0.201506,32,2
3.52964e-05,0,9.9399e-06,7.01273,22.3551,0.281613,-0.220031,1.00812e-05,-3.72759e-05,-2.18683e-05,-8.08153e-06,1,-15,0.621429,-0.20152,33,2
3.55219e-05,0,1.00163e-05,7.01037,22.2745,0.281976,-0.219921,-3.57939e-05,-4.68487e-05,6.67241e-05,-3.27083e-05,1,-13.5,0.621429,-0.201512,34,2
3.59822e-05,0,1.01699e-05,7.00457,23.1702,0.282631,-0.219809,-4.00868e-05,-6.03301e-05,0.000129316,-3.35791e-06,1,-12.75,0.621429,-0.201603,35,2
3.71271e-05,0,1.05514e-05,7.02428,24.1249,0.284162,-0.2201,0.00020475,-5.22453e-05,-6.39096e-07,4.95166e-05,1,-12,0.621429,-0.201697,36,2
3.98098e-05,0,1.14599e-05,7.11587,23.3284,0.287692,-0.221295,0.000948262,8.66226e-06,-0.000230981,-7.34542e-05,1,-11.25,0.621429,-0.201608,37,2
4.5493e-05,0,1.34613e-05,7.2702,21.733,0.295244,-0.223142,0.0020406,0.000111693,-0.000190261,-0.000586101,1,-10.5,0.621429,-0.201433,38,2
