Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
-0.000423212,0.000134143,1,-10.5,1.41429,-0.201247,86,2
0.00109397,-0.00131228,0.999999,-9.7958,1.04207,-0.201527,87,2
0.00100331,-0.00104738,0.999999,-9.75,1.21607,-0.201482,88,2
0.000962717,-0.00107699,0.999999,-9.79226,1.21607,-0.201409,89,2
0.000330315,8.92852e-05,1,-9.78356,1.39655,-0.201119,90,2
0.000500649,-0.000999682,0.999999,-9.75,1.41429,-0.201146,91,2
-0.000455105,2.24901e-06,1,-10.4638,1.39515,-0.201207,92,2
9.99704e-05,-0.00141919,0.999999,-10.463,1.03742,-0.201233,93,2
0.000110924,-0.00132939,0.999999,-9.375,1.21607,-0.201582,94,2
5.12535e-05,0.000901645,1,-9.375,1.01786,-0.201731,95,2
-0.000375092,-0.00117535,0.999999,-8.625,1.21607,-0.201581,96,2
-1.08619e-06,-0.00126539,0.999999,-9,1.21607,-0.201637,97,2
-0.000485604,0.00162977,0.999999,-8.625,1.01786,-0.201632,98,2
-0.000137382,0.00126363,0.999999,-9,1.01786,-0.201684,99,2
-0.00170579,0.00135047,0.999998,-7.875,1.21607,-0.200879,100,2
-0.00098741,-0.000561084,0.999999,-8.25,1.21607,-0.201365,101,2
-0.00243837,0.00236336,0.999994,-7.875,1.01786,-0.200601,102,2
-0.0012155,0.00151467,0.999998,-8.25,1.01786,-0.201358,103,2
5.40382e-05,-1.70527e-05,1,-14.25,1.81071,-0.200903,104,2
3.76966e-05,-9.24677e-06,1,-15,1.81071,-0.200873,105,2
7.29859e-05,-3.04091e-05,1,-13.5,1.81071,-0.200955,106,2
8.41717e-05,-3.75321e-05,1,-12.75,1.81071,-0.20101,107,2
9.48575e-05,-3.66927e-05,1,-12,1.81071,-0.201074,108,2
0.00010711,-3.05031e-05,1,-11.25,1.81071,-0.201142,109,2
-0.000219312,0.000390536,1,-10.5,1.81071,-0.201232,110,2
0.00057248,-0.000195687,1,-9.78336,1.43192,-0.201112,111,2
0.000655666,0.000790175,0.999999,-9.75,1.6125,-0.20124,112,2
0.00067893,0.000800622,0.999999,-9.78583,1.6125,-0.201194,113,2
