nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
1.71992e-05,1,0,4.46892e-06,-2.53845,38086.4,0.259833,-0.0999938,0,-1.14772e-06,-14.25,0,-3.89167,0,2
1.71988e-05,1,0,4.46885e-06,-2.53481,38630.6,0.259835,-0.0999941,-3.58843e-09,6.5955e-19,-14.25,0.225,-4,1,2
1.71989e-05,1,0,4.46887e-06,-2.53885,38086.4,0.259835,-0.0999999,-1.24426e-08,-1.16646e-06,-15,0.225,-3.89167,2,2
1.71992e-05,1,0,4.46892e-06,-2.53767,38086.4,0.259833,-0.0999916,0,-1.10729e-06,-13.5,0,-3.89167,3,2
1.71988e-05,1,0,4.46887e-06,-2.53418,38630.6,0.259837,-0.0999922,3.84667e-09,6.59537e-19,-13.5,0.225,-4,4,2
1.71992e-05,1,0,4.46892e-06,-2.5368,38086.4,0.259833,-0.0999867,0,-1.04938e-06,-12.75,0,-3.89167,5,2
1.71988e-05,1,0,4.46891e-06,-2.5335,38630.6,0.259839,-0.0999876,7.33412e-11,6.59507e-19,-12.75,0.225,-4,6,2
1.71992e-05,1,0,4.46892e-06,-2.53579,38086.4,0.259833,-0.0999825,0,-9.69434e-07,-12,0,-3.89167,7,2
1.71989e-05,1,0,4.46897e-06,-2.53271,38630.6,0.25984,-0.099984,-9.54581e-09,6.59483e-19,-12,0.225,-4,8,2
1.71992e-05,1,0,4.46892e-06,-2.53471,38086.4,0.259834,-0.0999783,0,-8.61228e-07,-11.25,0,-3.89167,9,2
1.71991e-05,1,0,4.46903e-06,-2.53185,38630.6,0.259841,-0.0999805,-2.72055e-08,6.5946e-19,-11.25,0.225,-4,10,2
1.71992e-05,1,0,4.46893e-06,-2.53363,38086.4,0.259834,-0.0999745,0,-7.22155e-07,-10.5,0,-3.89167,11,2
1.71992e-05,1,0,4.46908e-06,-2.53096,38630.6,0.259842,-0.0999776,-5.74651e-08,6.5944e-19,-10.5,0.225,-4,12,2
1.71992e-05,1,0,4.46892e-06,-2.53259,38086.4,0.259833,-0.0999713,0,-5.46127e-07,-9.75,0,-3.89167,13,2
