nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.5207e-05,1,0,9.90113e-06,-2.51289,35407.7,0.281226,-0.219874,0,-3.00725e-05,-12.75,0,-3.675,44,2
3.52069e-05,1,0,9.90115e-06,-2.51218,35407.7,0.281228,-0.219849,0,-2.30919e-05,-12,0,-3.675,45,2
3.52067e-05,1,0,9.90121e-06,-2.51372,35407.7,0.281231,-0.219838,0,-5.83514e-06,-11.25,0,-3.675,46,2
3.52063e-05,1,0,9.90126e-06,-2.50811,35407.7,0.281235,-0.219851,0,2.24849e-05,-10.5,0,-3.675,47,2
3.52055e-05,1,0,9.90114e-06,-2.49151,35407.7,0.281239,-0.219888,0,5.3373e-05,-9.75,0,-3.675,48,2
3.52049e-05,1,0,9.90103e-06,-2.48102,35407.7,0.28124,-0.219915,0,6.57821e-05,-9.375,0,-3.675,49,2
3.52041e-05,1,0,9.90098e-06,-2.4603,35407.7,0.281246,-0.219986,0,8.35147e-05,-8.625,0,-3.675,50,2
3.52044e-05,1,0,9.90098e-06,-2.47057,35407.7,0.281243,-0.219948,0,7.50291e-05,-9,0,-3.675,51,2
3.5204e-05,1,0,9.90122e-06,-2.44084,35407.7,0.281253,-0.220073,0,9.85813e-05,-7.875,0,-3.675,52,2
3.52039e-05,1,0,9.90107e-06,-2.45023,35407.7,0.281249,-0.220028,0,9.14466e-05,-8.25,0,-3.675,53,2
3.52071e-05,1,0,9.90124e-06,-2.47814,34319.4,0.281228,-0.220006,-4.31067e-07,-7.56484e-06,-15,0.225,-3.56667,54,2
3.52072e-05,1,0,9.90113e-06,-2.47274,34319.4,0.281225,-0.219941,0,-6.74104e-06,-14.25,0,-3.56667,55,2
3.52071e-05,1,0,9.90115e-06,-2.4666,34319.5,0.281226,-0.219916,0,-5.22951e-06,-13.5,0,-3.56667,56,2
3.5207e-05,1,0,9.90115e-06,-2.46702,34319.5,0.281226,-0.219857,0,-2.78815e-06,-12.75,0,-3.56667,57,2
3.52069e-05,1,0,9.90118e-06,-2.47152,34319.4,0.281228,-0.219801,0,4.38221e-06,-12,0,-3.56667,58,2
3.52068e-05,1,0,9.90124e-06,-2.48225,34319.4,0.281231,-0.21975,0,1.8923e-05,-11.25,0,-3.56667,59,2
3.52064e-05,1,0,9.9013e-06,-2.48873,34319.4,0.281236,-0.219736,0,3.7224e-05,-10.5,0,-3.56667,60,2
3.52056e-05,1,0,9.9012e-06,-2.48304,34319.4,0.281239,-0.219779,0,5.15357e-05,-9.75,0,-3.56667,61,2
3.5205e-05,1,0,9.9011e-06,-2.47738,34319.4,0.281241,-0.219823,0,5.4788e-05,-9.375,0,-3.56667,62,2
3.52043e-05,1,0,9.90109e-06,-2.46262,34319.5,0.281247,-0.219926,0,5.26688e-05,-8.625,0,-3.56667,63,2
3.52046e-05,1,0,9.90106e-06,-2.47032,34319.4,0.281244,-0.219874,0,5.46975e-05,-9,0,-3.56667,64,2
3.52042e-05,1,0,9.90134e-06,-2.4473,34319.5,0.281254,-0.220043,0,5.33143e-05,-7.875,0,-3.56667,65,2
3.52042e-05,1,0,9.90118e-06,-2.45492,34319.5,0.28125,-0.219982,0,5.13272e-05,-8.25,0,-3.56667,66,2
3.52071e-05,1,0,9.90125e-06,-2.53246,33231.1,0.281228,-0.219997,-4.02682e-07,-5.51415e-05,-15,0.225,-3.45833,67,2
3.52072e-05,1,0,9.90114e-06,-2.52597,33231.1,0.281225,-0.219935,0,-5.42376e-05,-14.25,0,-3.45833,68,2
3.52072e-05,1,0,9.90116e-06,-2.51663,33231.1,0.281226,-0.219917,0,-5.31821e-05,-13.5,0,-3.45833,69,2
3.52071e-05,1,0,9.90118e-06,-2.51246,33231.2,0.281227,-0.219872,0,-5.05614e-05,-12.75,0,-3.45833,70,2
3.5207e-05,1,0,9.90121e-06,-2.51178,33231.2,0.281229,-0.219846,0,-3.89683e-05,-12,0,-3.45833,71,2
3.52069e-05,1,0,9.9013e-06,-2.51391,33231.1,0.281232,-0.219834,0,-9.82993e-06,-11.25,0,-3.45833,72,2
3.52066e-05,1,0,9.90137e-06,-2.5087,33231.2,0.281236,-0.219847,0,3.83231e-05,-10.5,0,-3.45833,73,2
3.52058e-05,1,0,9.90128e-06,-2.49185,33231.2,0.28124,-0.219884,0,9.09691e-05,-9.75,0,-3.45833,74,2
3.52052e-05,1,0,9.90119e-06,-2.48112,33231.2,0.281242,-0.219913,0,0.000112012,-9.375,0,-3.45833,75,2
3.52045e-05,1,0,9.90118e-06,-2.45979,33231.2,0.281248,-0.219986,0,0.0001413,-8.625,0,-3.45833,76,2
3.52048e-05,1,0,9.90115e-06,-2.47035,33231.2,0.281245,-0.219948,0,0.000127544,-9,0,-3.45833,77,2
3.52044e-05,1,0,9.90144e-06,-2.43979,33231.2,0.281255,-0.22007,0,0.000165564,-7.875,0,-3.45833,78,2
3.52044e-05,1,0,9.90128e-06,-2.44946,33231.2,0.281252,-0.220027,0,0.000153868,-8.25,0,-3.45833,79,2
3.52072e-05,1,0,9.90127e-06,-2.47721,32142.9,0.281229,-0.220005,-4.37382e-07,-1.13375e-05,-15,0.225,-3.35,80,2
3.52072e-05,1,0,9.90117e-06,-2.47173,32142.9,0.281225,-0.219941,0,-1.01192e-05,-14.25,0,-3.35,81,2
3.52072e-05,1,0,9.90119e-06,-2.46541,32142.9,0.281226,-0.219916,0,-7.89582e-06,-13.5,0,-3.35,82,2
3.52072e-05,1,0,9.90121e-06,-2.46567,32142.9,0.281227,-0.219855,0,-4.32854e-06,-12.75,0,-3.35,83,2
3.52071e-05,1,0,9.90126e-06,-2.47025,32142.9,0.281229,-0.219795,0,6.36811e-06,-12,0,-3.35,84,2
3.5207e-05,1,0,9.90136e-06,-2.4818,32142.9,0.281233,-0.219739,0,2.84521e-05,-11.25,0,-3.35,85,2
3.52067e-05,1,0,9.90144e-06,-2.48919,32142.9,0.281237,-0.219723,0,5.6524e-05,-10.5,0,-3.35,86,2
3.5206e-05,1,0,9.90139e-06,-2.4838,32142.9,0.281242,-0.219766,0,7.83198e-05,-9.75,0,-3.35,87,2
3.52055e-05,1,0,9.90132e-06,-2.47811,32142.9,0.281244,-0.219812,0,8.26248e-05,-9.375,0,-3.35,88,2
3.52048e-05,1,0,9.90137e-06,-2.46296,32142.9,0.28125,-0.219918,0,7.60794e-05,-8.625,0,-3.35,89,2
3.52051e-05,1,0,9.90131e-06,-2.47094,32142.9,0.281247,-0.219865,0,8.09209e-05,-9,0,-3.35,90,2
3.52049e-05,1,0,9.90166e-06,-2.44725,32143,0.281258,-0.220037,0,7.47223e-05,-7.875,0,-3.35,91,2
3.52048e-05,1,0,9.90149e-06,-2.45496,32143,0.281254,-0.219975,0,7.26257e-05,-8.25,0,-3.35,92,2
3.52072e-05,1,0,9.90129e-06,-2.53231,31054.6,0.281229,-0.219997,-4.23121e-07,-7.72945e-05,-15,0.225,-3.24167,93,2
3.52073e-05,1,0,9.90119e-06,-2.52577,31054.6,0.281226,-0.219935,0,-7.61385e-05,-14.25,0,-3.24167,94,2
3.52073e-05,1,0,9.90122e-06,-2.51628,31054.6,0.281226,-0.219916,0,-7.50077e-05,-13.5,0,-3.24167,95,2
3.52073e-05,1,0,9.90125e-06,-2.51181,31054.6,0.281228,-0.21987,0,-7.18122e-05,-12.75,0,-3.24167,96,2
3.52072e-05,1,0,9.90132e-06,-2.51114,31054.6,0.28123,-0.219841,0,-5.57677e-05,-12,0,-3.24167,97,2
3.52072e-05,1,0,9.90144e-06,-2.5141,31054.6,0.281234,-0.219827,0,-1.41914e-05,-11.25,0,-3.24167,98,2
3.5207e-05,1,0,9.90156e-06,-2.50949,31054.6,0.281239,-0.21984,0,5.53737e-05,-10.5,0,-3.24167,99,2
3.52063e-05,1,0,9.90153e-06,-2.4923,31054.7,0.281243,-0.21988,0,0.000131732,-9.75,0,-3.24167,100,2
3.52058e-05,1,0,9.90148e-06,-2.48124,31054.7,0.281246,-0.219911,0,0.000161986,-9.375,0,-3.24167,101,2
3.52052e-05,1,0,9.90156e-06,-2.45893,31054.7,0.281252,-0.219987,0,0.000202065,-8.625,0,-3.24167,102,2
3.52054e-05,1,0,9.90148e-06,-2.47,31054.7,0.281249,-0.219948,0,0.000183761,-9,0,-3.24167,103,2
3.52053e-05,1,0,9.90188e-06,-2.43805,31054.7,0.281261,-0.220066,0,0.000234275,-7.875,0,-3.24167,104,2
3.52052e-05,1,0,9.9017e-06,-2.44815,31054.7,0.281257,-0.220026,0,0.00021833,-8.25,0,-3.24167,105,2
3.52073e-05,1,0,9.90132e-06,-2.47595,29966.4,0.281229,-0.220005,-4.40134e-07,-1.50781e-05,-15,0.225,-3.13333,106,2
3.52073e-05,1,0,9.90122e-06,-2.47035,29966.4,0.281226,-0.219941,0,-1.34944e-05,-14.25,0,-3.13333,107,2
3.52074e-05,1,0,9.90126e-06,-2.46377,29966.4,0.281227,-0.219915,0,-1.06158e-05,-13.5,0,-3.13333,108,2
3.52074e-05,1,0,9.90131e-06,-2.46379,29966.4,0.281228,-0.219851,0,-6.03132e-06,-12.75,0,-3.13333,109,2
3.52074e-05,1,0,9.90139e-06,-2.46841,29966.4,0.281231,-0.219787,0,8.12898e-06,-12,0,-3.13333,110,2
3.52074e-05,1,0,9.90154e-06,-2.48102,29966.4,0.281235,-0.219724,0,3.80843e-05,-11.25,0,-3.13333,111,2
3.52072e-05,1,0,9.90169e-06,-2.48973,29966.4,0.28124,-0.219702,0,7.66627e-05,-10.5,0,-3.13333,112,2
3.52067e-05,1,0,9.90172e-06,-2.48486,29966.4,0.281245,-0.219747,0,0.000106385,-9.75,0,-3.13333,113,2
3.52063e-05,1,0,9.90171e-06,-2.4791,29966.4,0.281248,-0.219796,0,0.000111021,-9.375,0,-3.13333,114,2
3.5206e-05,1,0,9.9019e-06,-2.46329,29966.4,0.281256,-0.219907,0,9.54351e-05,-8.625,0,-3.13333,115,2
3.5206e-05,1,0,9.90177e-06,-2.47166,29966.4,0.281252,-0.219852,0,0.000105682,-9,0,-3.13333,116,2
3.52062e-05,1,0,9.90229e-06,-2.44697,29966.4,0.281266,-0.220027,0,8.86077e-05,-7.875,0,-3.13333,117,2
3.5206e-05,1,0,9.90209e-06,-2.45485,29966.4,0.281261,-0.219965,0,8.7625e-05,-8.25,0,-3.13333,118,2
3.52073e-05,1,0,9.90135e-06,-2.53212,28878.1,0.28123,-0.219997,-4.46608e-07,-9.95091e-05,-15,0.225,-3.025,119,2
3.52074e-05,1,0,9.90125e-06,-2.52553,28878.1,0.281226,-0.219934,0,-9.82226e-05,-14.25,0,-3.025,120,2
3.52074e-05,1,0,9.9013e-06,-2.51583,28878.1,0.281227,-0.219915,0,-9.74024e-05,-13.5,0,-3.025,121,2
3.52075e-05,1,0,9.90137e-06,-2.51093,28878.1,0.281229,-0.219867,0,-9.41717e-05,-12.75,0,-3.025,122,2
3.52076e-05,1,0,9.90148e-06,-2.5102,28878.1,0.281232,-0.219835,0,-7.39548e-05,-12,0,-3.025,123,2
3.52077e-05,1,0,9.90167e-06,-2.51413,28878.1,0.281236,-0.219819,0,-1.91527e-05,-11.25,0,-3.025,124,2
3.52076e-05,1,0,9.90187e-06,-2.51032,28878.1,0.281242,-0.219831,0,7.41961e-05,-10.5,0,-3.025,125,2
3.52072e-05,1,0,9.90196e-06,-2.49286,28878.1,0.281248,-0.219873,0,0.000177281,-9.75,0,-3.025,126,2
3.52069e-05,1,0,9.90199e-06,-2.48143,28878.2,0.281252,-0.219908,0,0.000217598,-9.375,0,-3.025,127,2
3.52067e-05,1,0,9.90227e-06,-2.45767,28878.2,0.281261,-0.21999,0,0.000266542,-8.625,0,-3.025,128,2
3.52067e-05,1,0,9.90209e-06,-2.46955,28878.2,0.281256,-0.21995,0,0.000245179,-9,0,-3.025,129,2
3.52071e-05,1,0,9.90272e-06,-2.4354,28878.2,0.281271,-0.220061,0,0.000304513,-7.875,0,-3.025,130,2
3.52069e-05,1,0,9.9025e-06,-2.44614,28878.2,0.281266,-0.220026,0,0.000284913,-8.25,0,-3.025,131,2
3.52074e-05,1,0,9.90138e-06,-2.47437,27789.9,0.28123,-0.220005,-4.39702e-07,-1.87784e-05,-15,0.225,-2.91667,132,2
3.52075e-05,1,0,9.90129e-06,-2.46862,27789.9,0.281227,-0.21994,0,-1.68699e-05,-14.25,0,-2.91667,133,2
3.52076e-05,1,0,9.90135e-06,-2.4617,27789.9,0.281228,-0.219914,0,-1.34094e-05,-13.5,0,-2.91667,134,2
3.52077e-05,1,0,9.90144e-06,-2.46137,27789.9,0.28123,-0.219848,0,-7.9512e-06,-12.75,0,-2.91667,135,2
3.52078e-05,1,0,9.90159e-06,-2.46591,27789.9,0.281233,-0.219777,0,9.57382e-06,-12,0,-2.91667,136,2
3.5208e-05,1,0,9.90182e-06,-2.47968,27789.9,0.281238,-0.219705,0,4.78031e-05,-11.25,0,-2.91667,137,2
3.52081e-05,1,0,9.90208e-06,-2.49017,27789.9,0.281245,-0.219675,0,9.79039e-05,-10.5,0,-2.91667,138,2
