nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
1.38027e-05,1,0,3.46559e-06,-2.06448,38086.9,0.25108,-0.0799963,0,-6.44405e-07,-14.25,0,-3.89167,0,2
1.38025e-05,1,0,3.46555e-06,-2.06375,38631,0.251081,-0.0799963,-4.63121e-09,5.27646e-19,-14.25,0.225,-4,1,2
1.38026e-05,1,0,3.46557e-06,-2.06461,38086.9,0.251081,-0.0799999,-1.3004e-08,-6.46013e-07,-15,0.225,-3.89167,2,2
1.38027e-05,1,0,3.46559e-06,-2.06432,38086.9,0.25108,-0.0799942,0,-6.41226e-07,-13.5,0,-3.89167,3,2
1.38024e-05,1,0,3.46555e-06,-2.06363,38631,0.251083,-0.0799943,3.58114e-09,5.27633e-19,-13.5,0.225,-4,4,2
1.38027e-05,1,0,3.46559e-06,-2.06427,38086.9,0.25108,-0.079991,0,-6.29049e-07,-12.75,0,-3.89167,5,2
1.38023e-05,1,0,3.46556e-06,-2.06362,38631,0.251085,-0.0799912,3.58571e-09,5.27613e-19,-12.75,0.225,-4,6,2
1.38027e-05,1,0,3.46559e-06,-2.06428,38086.9,0.25108,-0.079988,0,-6.09374e-07,-12,0,-3.89167,7,2
1.38024e-05,1,0,3.4656e-06,-2.06368,38631,0.251087,-0.0799884,-2.17014e-10,5.27594e-19,-12,0.225,-4,8,2
1.38027e-05,1,0,3.46559e-06,-2.06438,38086.9,0.251081,-0.079985,0,-5.77672e-07,-11.25,0,-3.89167,9,2
1.38025e-05,1,0,3.46567e-06,-2.06382,38631,0.25109,-0.0799857,-8.09572e-09,5.27576e-19,-11.25,0.225,-4,10,2
1.38027e-05,1,0,3.4656e-06,-2.06458,38086.9,0.251081,-0.079982,0,-5.28742e-07,-10.5,0,-3.89167,11,2
1.38027e-05,1,0,3.46573e-06,-2.06402,38631,0.251091,-0.0799831,-1.9616e-08,5.27559e-19,-10.5,0.225,-4,12,2
1.38027e-05,1,0,3.46559e-06,-2.06488,38086.9,0.25108,-0.0799792,0,-4.57916e-07,-9.75,0,-3.89167,13,2
1.38027e-05,1,0,3.4656e-06,-2.06432,38631,0.25108,-0.0799806,-1.65175e-08,5.27543e-19,-9.75,0.1125,-4,14,2
1.38028e-05,1,0,3.46559e-06,-2.06429,38631,0.251079,-0.0799808,0,5.27544e-19,-9.75,0,-4,15,2
1.38027e-05,1,0,3.46565e-06,-2.06429,38631,0.251085,-0.0799808,-3.43066e-08,5.27544e-19,-9.75,0.225,-4,16,2
1.38027e-05,1,0,3.46559e-06,-2.06402,38631,0.25108,-0.0799831,0,5.27559e-19,-10.5,0,-4,17,2
1.38028e-05,1,0,3.46559e-06,-2.06507,38086.9,0.25108,-0.0799778,0,-4.07944e-07,-9.375,0,-3.89167,18,2
1.38027e-05,1,0,3.4656e-06,-2.06445,38631,0.25108,-0.0799799,-2.12511e-08,5.27538e-19,-9.375,0.1125,-4,19,2
1.38028e-05,1,0,3.46559e-06,-2.06553,38086.9,0.25108,-0.0799757,0,-2.69278e-07,-8.625,0,-3.89167,20,2
1.38027e-05,1,0,3.4656e-06,-2.06462,38631,0.25108,-0.079979,-2.93586e-08,5.27532e-19,-9,0.1125,-4,21,2
1.38028e-05,1,0,3.46559e-06,-2.06529,38086.9,0.25108,-0.0799766,0,-3.45067e-07,-9,0,-3.89167,22,2
1.38027e-05,1,0,3.4656e-06,-2.06482,38631,0.25108,-0.0799783,-4.06912e-08,5.27527e-19,-8.625,0.1125,-4,23,2
1.38028e-05,1,0,3.46559e-06,-2.06605,38086.9,0.25108,-0.079975,0,-6.27791e-08,-7.875,0,-3.89167,24,2
1.38027e-05,1,0,3.4656e-06,-2.06502,38631,0.25108,-0.0799778,-5.62266e-08,5.27524e-19,-8.25,0.1125,-4,25,2
1.38028e-05,1,0,3.46559e-06,-2.0658,38086.9,0.25108,-0.0799752,0,-1.7628e-07,-8.25,0,-3.89167,26,2
