nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.61931e-05,1,0,7.18135e-06,-0.328052,37084.1,0.274169,-0.159987,0,-1.93077e-06,-14.25,0,-3.89167,0,2
2.61929e-05,1,0,7.1814e-06,-0.322,37628.2,0.274173,-0.159992,-8.12194e-09,1.05529e-18,-14.25,0.225,-4,1,2
2.61929e-05,1,0,7.18139e-06,-0.328822,37084.1,0.274173,-0.16,-2.27695e-08,-2.00471e-06,-15,0.225,-3.89167,2,2
2.61931e-05,1,0,7.18136e-06,-0.327004,37084.1,0.27417,-0.15998,0,-1.79405e-06,-13.5,0,-3.89167,3,2
2.6193e-05,1,0,7.18145e-06,-0.32117,37628.2,0.274174,-0.159987,-1.26837e-08,1.05525e-18,-13.5,0.225,-4,4,2
2.61932e-05,1,0,7.18137e-06,-0.326642,37084.1,0.27417,-0.159969,0,-1.66145e-06,-12.75,0,-3.89167,5,2
2.61931e-05,1,0,7.18149e-06,-0.321078,37628.2,0.274175,-0.159979,-3.39329e-08,1.0552e-18,-12.75,0.225,-4,6,2
2.61932e-05,1,0,7.18139e-06,-0.326744,37084.1,0.27417,-0.159957,0,-1.52265e-06,-12,0,-3.89167,7,2
2.61932e-05,1,0,7.18153e-06,-0.321473,37628.2,0.274175,-0.159972,-8.30004e-08,1.05516e-18,-12,0.225,-4,8,2
2.61932e-05,1,0,7.18141e-06,-0.327382,37084.1,0.274171,-0.159946,0,-1.36598e-06,-11.25,0,-3.89167,9,2
2.61933e-05,1,0,7.18156e-06,-0.322431,37628.2,0.274176,-0.159966,-1.83808e-07,1.05511e-18,-11.25,0.225,-4,10,2
2.61932e-05,1,0,7.18142e-06,-0.328557,37084.1,0.274171,-0.159936,0,-1.15299e-06,-10.5,0,-3.89167,11,2
2.61933e-05,1,0,7.18158e-06,-0.323923,37628.2,0.274176,-0.15996,-3.71505e-07,1.05507e-18,-10.5,0.225,-4,12,2
2.61931e-05,1,0,7.18139e-06,-0.329842,37084.1,0.274171,-0.15993,0,-8.66784e-07,-9.75,0,-3.89167,13,2
2.61931e-05,1,0,7.18139e-06,-0.325847,37628.2,0.274171,-0.159954,-3.11386e-07,1.05503e-18,-9.75,0.1125,-4,14,2
