nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.5207e-05,1,0,9.90104e-06,-0.831604,37083.6,0.281224,-0.219952,0,-6.40611e-06,-14.25,0,-3.89167,0,2
3.52069e-05,1,0,9.90115e-06,-0.80527,37627.7,0.281227,-0.219971,-4.02828e-07,1.4509e-18,-14.25,0.225,-4,1,2
3.52069e-05,1,0,9.90113e-06,-0.835174,37083.6,0.281227,-0.219993,-3.13809e-07,-6.59969e-06,-15,0.225,-3.89167,2,2
3.5207e-05,1,0,9.90106e-06,-0.82639,37083.6,0.281225,-0.219933,0,-5.96951e-06,-13.5,0,-3.89167,3,2
3.5207e-05,1,0,9.90119e-06,-0.801822,37627.7,0.281228,-0.219955,-7.64709e-07,1.45079e-18,-13.5,0.225,-4,4,2
3.52069e-05,1,0,9.90106e-06,-0.823723,37083.6,0.281225,-0.219906,0,-5.2595e-06,-12.75,0,-3.89167,5,2
3.52069e-05,1,0,9.90119e-06,-0.801562,37627.7,0.281229,-0.219924,-1.37122e-06,1.45058e-18,-12.75,0.225,-4,6,2
3.52066e-05,1,0,9.90101e-06,-0.822511,37083.6,0.281226,-0.21989,0,-4.06533e-06,-12,0,-3.89167,7,2
3.52066e-05,1,0,9.90113e-06,-0.803148,37627.7,0.28123,-0.2199,-2.272e-06,1.45041e-18,-12,0.225,-4,8,2
3.52061e-05,1,0,9.90092e-06,-0.822717,37083.6,0.281227,-0.219881,0,-2.50919e-06,-11.25,0,-3.89167,9,2
3.5206e-05,1,0,9.90101e-06,-0.806321,37627.7,0.281231,-0.219878,-3.50501e-06,1.45026e-18,-11.25,0.225,-4,10,2
3.52055e-05,1,0,9.9008e-06,-0.823891,37083.6,0.281229,-0.219875,0,-7.24152e-07,-10.5,0,-3.89167,11,2
3.52051e-05,1,0,9.90085e-06,-0.810757,37627.7,0.281234,-0.21986,-5.59471e-06,1.45012e-18,-10.5,0.225,-4,12,2
3.52045e-05,1,0,9.90065e-06,-0.825286,37083.6,0.281232,-0.219873,0,2.0239e-06,-9.75,0,-3.89167,13,2
3.52044e-05,1,0,9.90063e-06,-0.816815,37627.7,0.281233,-0.219846,-4.14052e-06,1.45004e-18,-9.75,0.1125,-4,14,2
3.52045e-05,1,0,9.90061e-06,-0.81625,37627.7,0.281231,-0.219847,0,1.45009e-18,-9.75,0,-4,15,2
3.52035e-05,1,0,9.90051e-06,-0.816249,37627.7,0.281236,-0.219848,-8.651e-06,1.45001e-18,-9.75,0.225,-4,16,2
3.52055e-05,1,0,9.90076e-06,-0.810758,37627.7,0.281228,-0.21986,0,1.45017e-18,-10.5,0,-4,17,2
3.52041e-05,1,0,9.9006e-06,-0.825841,37083.6,0.281234,-0.219874,0,4.36605e-06,-9.375,0,-3.89167,18,2
3.5204e-05,1,0,9.90061e-06,-0.819086,37627.7,0.281235,-0.219847,-4.97379e-06,1.45004e-18,-9.375,0.1125,-4,19,2
3.52036e-05,1,0,9.9007e-06,-0.826746,37083.6,0.281241,-0.219891,0,1.05429e-05,-8.625,0,-3.89167,20,2
3.52037e-05,1,0,9.90062e-06,-0.821654,37627.7,0.281239,-0.219854,-6.04564e-06,1.45007e-18,-9,0.1125,-4,21,2
