nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
1.38029e-05,1,0,3.46563e-06,-0.402998,37586.3,0.25108,-0.0799976,0,-3.37222e-07,-14.25,0,-3.89167,0,2
1.38027e-05,1,0,3.46559e-06,-0.403004,38130.4,0.251081,-0.0799975,-3.44144e-09,5.27654e-19,-14.25,0.225,-4,1,2
1.38028e-05,1,0,3.46561e-06,-0.403076,37586.3,0.251081,-0.0800003,-5.15907e-09,-3.43722e-07,-15,0.225,-3.89167,2,2
1.38029e-05,1,0,3.46563e-06,-0.402898,37586.3,0.25108,-0.0799958,0,-3.23568e-07,-13.5,0,-3.89167,3,2
1.38026e-05,1,0,3.46558e-06,-0.402897,38130.4,0.251083,-0.0799957,-3.0272e-10,5.27642e-19,-13.5,0.225,-4,4,2
1.38029e-05,1,0,3.46563e-06,-0.402885,37586.3,0.25108,-0.0799936,0,-3.08489e-07,-12.75,0,-3.89167,5,2
1.38025e-05,1,0,3.46559e-06,-0.402869,38130.4,0.251085,-0.0799936,8.64831e-10,5.27628e-19,-12.75,0.225,-4,6,2
1.38029e-05,1,0,3.46563e-06,-0.402965,37586.3,0.25108,-0.0799915,0,-2.99748e-07,-12,0,-3.89167,7,2
1.38025e-05,1,0,3.46563e-06,-0.402891,38130.4,0.251087,-0.0799917,1.217e-09,5.27616e-19,-12,0.225,-4,8,2
1.38029e-05,1,0,3.46563e-06,-0.403144,37586.3,0.251081,-0.0799895,0,-2.88027e-07,-11.25,0,-3.89167,9,2
1.38027e-05,1,0,3.4657e-06,-0.402977,38130.4,0.251089,-0.0799901,8.35148e-10,5.27605e-19,-11.25,0.225,-4,10,2
1.38029e-05,1,0,3.46564e-06,-0.403404,37586.3,0.251081,-0.0799876,0,-2.59625e-07,-10.5,0,-3.89167,11,2
1.38028e-05,1,0,3.46576e-06,-0.403146,38130.4,0.251091,-0.0799888,2.35133e-11,5.27596e-19,-10.5,0.225,-4,12,2
1.38029e-05,1,0,3.46564e-06,-0.403745,37586.3,0.25108,-0.0799859,0,-2.14142e-07,-9.75,0,-3.89167,13,2
1.38029e-05,1,0,3.46564e-06,-0.403427,38130.4,0.25108,-0.0799876,3.24618e-10,5.27589e-19,-9.75,0.1125,-4,14,2
1.38029e-05,1,0,3.46563e-06,-0.403398,38130.4,0.251079,-0.0799877,0,5.27589e-19,-9.75,0,-4,15,2
1.38029e-05,1,0,3.46569e-06,-0.403399,38130.4,0.251084,-0.0799877,6.23217e-10,5.27589e-19,-9.75,0.225,-4,16,2
1.38029e-05,1,0,3.46563e-06,-0.403146,38130.4,0.25108,-0.0799888,0,5.27596e-19,-10.5,0,-4,17,2
1.38029e-05,1,0,3.46564e-06,-0.403949,37586.3,0.25108,-0.079985,0,-1.83758e-07,-9.375,0,-3.89167,18,2
1.38029e-05,1,0,3.46564e-06,-0.403554,38130.4,0.25108,-0.0799873,7.98161e-10,5.27586e-19,-9.375,0.1125,-4,19,2
1.38029e-05,1,0,3.46564e-06,-0.404419,37586.3,0.25108,-0.0799835,0,-1.06103e-07,-8.625,0,-3.89167,20,2
1.38029e-05,1,0,3.46564e-06,-0.403726,38130.4,0.25108,-0.0799869,1.77345e-09,5.27585e-19,-9,0.1125,-4,21,2
1.38029e-05,1,0,3.46564e-06,-0.404173,37586.3,0.25108,-0.0799843,0,-1.4814e-07,-9,0,-3.89167,22,2
1.38029e-05,1,0,3.46564e-06,-0.403918,38130.4,0.25108,-0.0799868,3.37753e-09,5.27583e-19,-8.625,0.1125,-4,23,2
1.38029e-05,1,0,3.46564e-06,-0.404984,37586.3,0.25108,-0.0799822,0,-3.5979e-09,-7.875,0,-3.89167,24,2
1.38029e-05,1,0,3.46564e-06,-0.404129,38130.4,0.25108,-0.0799868,5.89244e-09,5.27584e-19,-8.25,0.1125,-4,25,2
1.38029e-05,1,0,3.46564e-06,-0.404689,37586.3,0.25108,-0.0799828,0,-5.74138e-08,-8.25,0,-3.89167,26,2
1.38029e-05,1,0,3.46564e-06,-0.404359,38130.4,0.25108,-0.079987,9.88614e-09,5.27585e-19,-7.875,0.1125,-4,27,2
1.38027e-05,1,0,3.46561e-06,-0.403064,36498,0.251082,-0.0800002,-2.98179e-09,-6.49997e-07,-15,0.225,-3.78333,28,2
1.38029e-05,1,0,3.46564e-06,-0.402987,36498,0.251081,-0.0799975,0,-6.38059e-07,-14.25,0,-3.78333,29,2
1.38029e-05,1,0,3.46564e-06,-0.402896,36498,0.251081,-0.0799957,0,-6.13242e-07,-13.5,0,-3.78333,30,2
1.38028e-05,1,0,3.46564e-06,-0.402871,36498,0.251081,-0.0799935,0,-5.66351e-07,-12.75,0,-3.78333,31,2
1.38028e-05,1,0,3.46564e-06,-0.402894,36498,0.251081,-0.0799917,0,-4.84547e-07,-12,0,-3.78333,32,2
1.38028e-05,1,0,3.46564e-06,-0.40298,36498,0.251082,-0.0799901,0,-3.88687e-07,-11.25,0,-3.78333,33,2
1.38028e-05,1,0,3.46564e-06,-0.403145,36498,0.251082,-0.0799887,0,-3.04346e-07,-10.5,0,-3.78333,34,2
1.38029e-05,1,0,3.46564e-06,-0.403396,36498,0.251081,-0.0799876,0,-2.32306e-07,-9.75,0,-3.78333,35,2
1.38029e-05,1,0,3.46564e-06,-0.403554,36498,0.251081,-0.0799872,0,-1.98457e-07,-9.375,0,-3.78333,36,2
1.38029e-05,1,0,3.46564e-06,-0.403921,36498,0.251081,-0.0799867,0,-1.27196e-07,-8.625,0,-3.78333,37,2
1.38029e-05,1,0,3.46564e-06,-0.403727,36498,0.251081,-0.0799869,0,-1.64417e-07,-9,0,-3.78333,38,2
1.38029e-05,1,0,3.46564e-06,-0.404366,36498,0.251081,-0.079987,0,-6.00268e-09,-7.875,0,-3.78333,39,2
1.38029e-05,1,0,3.46564e-06,-0.404134,36498,0.251081,-0.0799867,0,-8.0398e-08,-8.25,0,-3.78333,40,2
