nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.0089e-05,1,0,5.34397e-06,-0.817439,37585.9,0.266015,-0.119989,0,-1.92255e-06,-14.25,0,-3.89167,0,2
2.00885e-05,1,0,5.34392e-06,-0.813198,38130,0.266018,-0.11999,-5.98178e-10,7.91442e-19,-14.25,0.225,-4,1,2
2.00886e-05,1,0,5.34393e-06,-0.817977,37585.9,0.266018,-0.12,-1.3637e-08,-1.95619e-06,-15,0.225,-3.89167,2,2
2.0089e-05,1,0,5.34397e-06,-0.816688,37585.9,0.266015,-0.119982,0,-1.8481e-06,-13.5,0,-3.89167,3,2
2.00886e-05,1,0,5.34396e-06,-0.812548,38130,0.26602,-0.119985,5.12048e-09,7.91406e-19,-13.5,0.225,-4,4,2
2.0089e-05,1,0,5.34397e-06,-0.81638,37585.9,0.266015,-0.119973,0,-1.7497e-06,-12.75,0,-3.89167,5,2
2.00887e-05,1,0,5.34401e-06,-0.812357,38130,0.266021,-0.119976,2.72992e-09,7.91351e-19,-12.75,0.225,-4,6,2
2.0089e-05,1,0,5.34397e-06,-0.816394,37585.9,0.266016,-0.119964,0,-1.62265e-06,-12,0,-3.89167,7,2
2.00888e-05,1,0,5.34407e-06,-0.812461,38130,0.266022,-0.119969,-3.5133e-09,7.91304e-19,-12,0.225,-4,8,2
2.0089e-05,1,0,5.34398e-06,-0.816813,37585.9,0.266016,-0.119956,0,-1.45946e-06,-11.25,0,-3.89167,9,2
2.0089e-05,1,0,5.34411e-06,-0.81292,38130,0.266022,-0.119963,-1.52202e-08,7.9126e-19,-11.25,0.225,-4,10,2
2.0089e-05,1,0,5.34399e-06,-0.817669,37585.9,0.266016,-0.119948,0,-1.25479e-06,-10.5,0,-3.89167,11,2
2.0089e-05,1,0,5.34414e-06,-0.81373,38130,0.266023,-0.119957,-3.64072e-08,7.91223e-19,-10.5,0.225,-4,12,2
2.0089e-05,1,0,5.34399e-06,-0.818972,37585.9,0.266015,-0.119939,0,-1.01259e-06,-9.75,0,-3.89167,13,2
2.0089e-05,1,0,5.34399e-06,-0.81499,38130,0.266015,-0.119952,-3.49286e-08,7.9119e-19,-9.75,0.1125,-4,14,2
2.00891e-05,1,0,5.34397e-06,-0.814865,38130,0.266014,-0.119953,0,7.91193e-19,-9.75,0,-4,15,2
2.0089e-05,1,0,5.34405e-06,-0.814866,38130,0.266018,-0.119953,-7.16146e-08,7.91192e-19,-9.75,0.225,-4,16,2
2.0089e-05,1,0,5.34398e-06,-0.813732,38130,0.266015,-0.119957,0,7.91224e-19,-10.5,0,-4,17,2
2.0089e-05,1,0,5.34398e-06,-0.819805,37585.9,0.266015,-0.119935,0,-8.78114e-07,-9.375,0,-3.89167,18,2
2.0089e-05,1,0,5.34399e-06,-0.815552,38130,0.266016,-0.119951,-4.74166e-08,7.9118e-19,-9.375,0.1125,-4,19,2
2.0089e-05,1,0,5.34398e-06,-0.821746,37585.9,0.266015,-0.11993,0,-5.9917e-07,-8.625,0,-3.89167,20,2
2.0089e-05,1,0,5.34399e-06,-0.816323,38130,0.266016,-0.119949,-6.99442e-08,7.9117e-19,-9,0.1125,-4,21,2
2.0089e-05,1,0,5.34398e-06,-0.820739,37585.9,0.266015,-0.119932,0,-7.39368e-07,-9,0,-3.89167,22,2
2.0089e-05,1,0,5.34398e-06,-0.817183,38130,0.266016,-0.119948,-1.04167e-07,7.91163e-19,-8.625,0.1125,-4,23,2
2.00888e-05,1,0,5.34394e-06,-0.823832,37585.9,0.266016,-0.119929,0,-3.28638e-07,-7.875,0,-3.89167,24,2
2.00889e-05,1,0,5.34397e-06,-0.818124,38130,0.266016,-0.119948,-1.56843e-07,7.91158e-19,-8.25,0.1125,-4,25,2
2.00889e-05,1,0,5.34397e-06,-0.822793,37585.9,0.266015,-0.119929,0,-4.62519e-07,-8.25,0,-3.89167,26,2
2.00888e-05,1,0,5.34395e-06,-0.819135,38130,0.266016,-0.119947,-2.37237e-07,7.91155e-19,-7.875,0.1125,-4,27,2
2.00886e-05,1,0,5.34394e-06,-0.813664,36497.6,0.266019,-0.120001,-2.49271e-09,-1.13902e-06,-15,0.225,-3.78333,28,2
2.00889e-05,1,0,5.34398e-06,-0.813177,36497.6,0.266016,-0.11999,0,-1.12702e-06,-14.25,0,-3.78333,29,2
2.00889e-05,1,0,5.34398e-06,-0.812554,36497.6,0.266016,-0.119985,0,-1.11299e-06,-13.5,0,-3.78333,30,2
2.00889e-05,1,0,5.34398e-06,-0.812371,36497.6,0.266016,-0.119976,0,-1.09621e-06,-12.75,0,-3.78333,31,2
2.00889e-05,1,0,5.34399e-06,-0.812482,36497.6,0.266017,-0.119969,0,-1.06881e-06,-12,0,-3.78333,32,2
2.00889e-05,1,0,5.34399e-06,-0.812943,36497.6,0.266017,-0.119963,0,-1.02804e-06,-11.25,0,-3.78333,33,2
2.00889e-05,1,0,5.344e-06,-0.813756,36497.6,0.266017,-0.119957,0,-9.46322e-07,-10.5,0,-3.78333,34,2
2.0089e-05,1,0,5.344e-06,-0.814895,36497.6,0.266016,-0.119952,0,-7.53326e-07,-9.75,0,-3.78333,35,2
2.0089e-05,1,0,5.34399e-06,-0.815593,36497.6,0.266016,-0.11995,0,-5.42155e-07,-9.375,0,-3.78333,36,2
2.0089e-05,1,0,5.34399e-06,-0.817248,36497.6,0.266016,-0.119948,0,4.65584e-07,-8.625,0,-3.78333,37,2
2.0089e-05,1,0,5.34399e-06,-0.816374,36497.6,0.266016,-0.119949,0,-1.5049e-07,-9,0,-3.78333,38,2
2.00888e-05,1,0,5.34395e-06,-0.819228,36497.6,0.266017,-0.119947,0,2.2303e-06,-7.875,0,-3.78333,39,2
2.00889e-05,1,0,5.34398e-06,-0.818203,36497.6,0.266017,-0.119947,0,1.28057e-06,-8.25,0,-3.78333,40,2
2.00886e-05,1,0,5.34394e-06,-0.81798,35409.4,0.266019,-0.12,-5.77718e-09,-5.88118e-06,-15,0.225,-3.675,41,2
2.00889e-05,1,0,5.34398e-06,-0.817443,35409.4,0.266016,-0.119989,0,-5.7759e-06,-14.25,0,-3.675,42,2
