nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38026e-05,1,0,3.4656e-06,-0.0509043,34907.9,0.251082,-0.0800002,-8.64115e-10,-3.68203e-07,-15,0.225,-3.675,41,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508558,34907.9,0.251081,-0.079999,0,-3.58076e-07,-14.25,0,-3.675,42,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507667,34907.9,0.251081,-0.0799982,0,-3.36519e-07,-13.5,0,-3.675,43,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506798,34907.9,0.251081,-0.0799974,0,-3.05513e-07,-12.75,0,-3.675,44,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506072,34907.9,0.251082,-0.0799966,0,-2.65116e-07,-12,0,-3.675,45,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505605,34907.9,0.251082,-0.0799958,0,-2.11777e-07,-11.25,0,-3.675,46,0,2
1.38028e-05,1,0,3.46563e-06,-0.05054,34907.9,0.251082,-0.0799951,0,-1.35117e-07,-10.5,0,-3.675,47,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505494,34907.9,0.251081,-0.0799945,0,-3.07536e-08,-9.75,0,-3.675,48,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505693,34907.9,0.251081,-0.0799942,0,3.76062e-08,-9.375,0,-3.675,49,0,2
1.38028e-05,1,0,3.46563e-06,-0.050649,34907.9,0.251081,-0.0799936,0,2.24097e-07,-8.625,0,-3.675,50,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506016,34907.9,0.251081,-0.0799939,0,1.22695e-07,-9,0,-3.675,51,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508011,34907.9,0.251081,-0.0799928,0,4.46815e-07,-7.875,0,-3.675,52,0,2
1.38028e-05,1,0,3.46563e-06,-0.0507142,34907.9,0.251081,-0.0799932,0,3.3594e-07,-8.25,0,-3.675,53,0,2
