nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
3.4574e-05,1,0,7.88697e-06,-6.14531,38082.8,0.228119,-0.219987,0,1.30723e-05,-14.25,0,-3.89167,0,2
3.45738e-05,1,0,7.887e-06,-6.14487,38626.9,0.228121,-0.219923,-2.4937e-05,1.45035e-18,-14.25,0.225,-4,1,2
3.45735e-05,1,0,7.88685e-06,-6.14169,38082.8,0.228118,-0.219973,-9.61504e-06,4.51386e-06,-15,0.225,-3.89167,2,2
3.45746e-05,1,0,7.88731e-06,-6.15025,38082.8,0.228124,-0.220062,0,2.86306e-05,-13.5,0,-3.89167,3,2
3.45742e-05,1,0,7.88733e-06,-6.15093,38626.9,0.228127,-0.219965,-3.64927e-05,1.45052e-18,-13.5,0.225,-4,4,2
3.45749e-05,1,0,7.88756e-06,-6.14996,38082.8,0.22813,-0.220201,0,3.78516e-05,-12.75,0,-3.89167,5,2
3.45742e-05,1,0,7.88756e-06,-6.15245,38626.9,0.228134,-0.220084,-3.59344e-05,1.45132e-18,-12.75,0.225,-4,6,2
3.45744e-05,1,0,7.88758e-06,-6.14469,38082.8,0.228133,-0.220358,0,3.4623e-05,-12,0,-3.89167,7,2
3.45735e-05,1,0,7.88756e-06,-6.1488,38626.9,0.228139,-0.22024,-2.31156e-05,1.45246e-18,-12,0.225,-4,8,2
3.45733e-05,1,0,7.88736e-06,-6.13807,38082.8,0.228134,-0.220475,0,2.12449e-05,-11.25,0,-3.89167,9,2
3.45717e-05,1,0,7.88728e-06,-6.14216,38626.9,0.228143,-0.220377,-3.89061e-06,1.45354e-18,-11.25,0.225,-4,10,2
3.4572e-05,1,0,7.88707e-06,-6.13296,38082.8,0.228135,-0.220538,0,9.30986e-06,-10.5,0,-3.89167,11,2
3.45694e-05,1,0,7.88689e-06,-6.13696,38626.9,0.228146,-0.220472,9.86848e-06,1.4543e-18,-10.5,0.225,-4,12,2
3.45712e-05,1,0,7.88697e-06,-6.13009,38082.8,0.228137,-0.220576,0,7.76578e-06,-9.75,0,-3.89167,13,2
3.45709e-05,1,0,7.88694e-06,-6.13514,38627,0.228138,-0.220554,5.55243e-06,1.4548e-18,-9.75,0.1125,-4,14,2
3.45711e-05,1,0,7.88692e-06,-6.13509,38627,0.228136,-0.220547,0,1.4547e-18,-9.75,0,-4,15,2
3.45669e-05,1,0,7.88656e-06,-6.13536,38627,0.228154,-0.220547,1.22059e-05,1.45482e-18,-9.75,0.225,-4,16,2
3.4572e-05,1,0,7.88704e-06,-6.13689,38626.9,0.228134,-0.220474,0,1.45422e-18,-10.5,0,-4,17,2
3.45714e-05,1,0,7.88714e-06,-6.12951,38082.8,0.228141,-0.2206,0,1.21139e-05,-9.375,0,-3.89167,18,2
3.4571e-05,1,0,7.88712e-06,-6.13529,38627,0.228143,-0.220592,4.40974e-06,1.45504e-18,-9.375,0.1125,-4,19,2
3.45731e-05,1,0,7.8883e-06,-6.12968,38082.8,0.228163,-0.220681,0,2.51565e-05,-8.625,0,-3.89167,20,2
3.45716e-05,1,0,7.88758e-06,-6.136,38627,0.228152,-0.220649,1.64413e-06,1.45539e-18,-9,0.1125,-4,21,2
3.4572e-05,1,0,7.88758e-06,-6.12936,38082.8,0.228149,-0.220636,0,1.8654e-05,-9,0,-3.89167,22,2
3.45727e-05,1,0,7.8883e-06,-6.13742,38626.9,0.228166,-0.220716,-1.522e-06,1.4558e-18,-8.625,0.1125,-4,23,2
3.45765e-05,1,0,7.89091e-06,-6.13277,38082.8,0.228216,-0.220802,0,3.4859e-05,-7.875,0,-3.89167,24,2
3.45742e-05,1,0,7.88938e-06,-6.13942,38626.9,0.228187,-0.220792,-4.63046e-06,1.45627e-18,-8.25,0.1125,-4,25,2
3.45746e-05,1,0,7.88936e-06,-6.13075,38082.8,0.228184,-0.220736,0,3.07342e-05,-8.25,0,-3.89167,26,2
3.45762e-05,1,0,7.89095e-06,-6.14188,38626.9,0.228219,-0.220873,-7.36956e-06,1.45678e-18,-7.875,0.1125,-4,27,2
3.45736e-05,1,0,7.88689e-06,-6.14161,36994.6,0.228119,-0.219927,-1.43145e-05,1.22242e-05,-15,0.225,-3.78333,28,2
3.4574e-05,1,0,7.88702e-06,-6.14579,36994.6,0.22812,-0.21992,0,2.65375e-05,-14.25,0,-3.78333,29,2
3.45747e-05,1,0,7.88739e-06,-6.1519,36994.6,0.228126,-0.219964,0,4.8123e-05,-13.5,0,-3.78333,30,2
3.45751e-05,1,0,7.88769e-06,-6.15315,36994.6,0.228132,-0.220089,0,5.18503e-05,-12.75,0,-3.78333,31,2
3.45749e-05,1,0,7.88778e-06,-6.14916,36994.6,0.228136,-0.220249,0,3.21054e-05,-12,0,-3.78333,32,2
3.45739e-05,1,0,7.88761e-06,-6.14204,36994.6,0.228138,-0.220387,0,-6.81773e-07,-11.25,0,-3.78333,33,2
3.45726e-05,1,0,7.88734e-06,-6.13632,36994.6,0.228138,-0.220478,0,-2.69122e-05,-10.5,0,-3.78333,34,2
3.45719e-05,1,0,7.88726e-06,-6.13439,36994.6,0.228141,-0.220546,0,-3.538e-05,-9.75,0,-3.78333,35,2
3.45721e-05,1,0,7.88745e-06,-6.13449,36994.6,0.228145,-0.220588,0,-2.95809e-05,-9.375,0,-3.78333,36,2
3.45738e-05,1,0,7.88861e-06,-6.13668,36994.6,0.228167,-0.220711,0,-5.43964e-06,-8.625,0,-3.78333,37,2
3.45728e-05,1,0,7.8879e-06,-6.1352,36994.6,0.228154,-0.220644,0,-1.79041e-05,-9,0,-3.78333,38,2
3.45772e-05,1,0,7.89119e-06,-6.14136,36994.6,0.228219,-0.220869,0,1.77245e-05,-7.875,0,-3.78333,39,2
3.45753e-05,1,0,7.88966e-06,-6.13878,36994.6,0.228188,-0.220787,0,6.56278e-06,-8.25,0,-3.78333,40,2
3.45737e-05,1,0,7.88693e-06,-6.14174,35906.3,0.22812,-0.219969,-1.00934e-05,1.39846e-05,-15,0.225,-3.675,41,2
3.45742e-05,1,0,7.88707e-06,-6.1455,35906.3,0.22812,-0.219982,0,4.03937e-05,-14.25,0,-3.675,42,2
3.45749e-05,1,0,7.88748e-06,-6.15064,35906.3,0.228127,-0.220058,0,8.75413e-05,-13.5,0,-3.675,43,2
3.45754e-05,1,0,7.88782e-06,-6.15025,35906.3,0.228133,-0.220202,0,0.00011443,-12.75,0,-3.675,44,2
3.45753e-05,1,0,7.88795e-06,-6.14453,35906.3,0.228138,-0.220364,0,0.000103056,-12,0,-3.675,45,2
3.45745e-05,1,0,7.88784e-06,-6.13751,35906.3,0.22814,-0.220481,0,6.04446e-05,-11.25,0,-3.675,46,2
3.45734e-05,1,0,7.88765e-06,-6.13229,35906.3,0.228142,-0.22054,0,2.25133e-05,-10.5,0,-3.675,47,2
3.45728e-05,1,0,7.88762e-06,-6.12934,35906.3,0.228145,-0.220573,0,1.7367e-05,-9.75,0,-3.675,48,2
3.4573e-05,1,0,7.8878e-06,-6.12866,35906.3,0.228149,-0.220596,0,3.10584e-05,-9.375,0,-3.675,49,2
3.45746e-05,1,0,7.88889e-06,-6.12879,35906.3,0.22817,-0.220676,0,7.21985e-05,-8.625,0,-3.675,50,2
3.45736e-05,1,0,7.88822e-06,-6.12851,35906.3,0.228157,-0.22063,0,5.16513e-05,-9,0,-3.675,51,2
3.45776e-05,1,0,7.89136e-06,-6.1319,35906.3,0.228221,-0.220797,0,0.000103285,-7.875,0,-3.675,52,2
3.45759e-05,1,0,7.88989e-06,-6.12981,35906.3,0.228191,-0.220732,0,9.00241e-05,-8.25,0,-3.675,53,2
3.45738e-05,1,0,7.88697e-06,-6.14179,34818.1,0.22812,-0.219921,-1.5184e-05,2.40562e-05,-15,0.225,-3.56667,54,2
3.45744e-05,1,0,7.88714e-06,-6.1464,34818,0.228121,-0.219912,0,5.31254e-05,-14.25,0,-3.56667,55,2
3.45753e-05,1,0,7.88761e-06,-6.15297,34818,0.228129,-0.219956,0,9.72103e-05,-13.5,0,-3.56667,56,2
3.45761e-05,1,0,7.88807e-06,-6.15402,34818,0.228136,-0.220087,0,0.000104259,-12.75,0,-3.56667,57,2
3.45763e-05,1,0,7.88833e-06,-6.14954,34818,0.228143,-0.220256,0,6.19678e-05,-12,0,-3.56667,58,2
3.45757e-05,1,0,7.8883e-06,-6.14171,34818.1,0.228146,-0.220396,0,-7.18307e-06,-11.25,0,-3.56667,59,2
3.45747e-05,1,0,7.88816e-06,-6.13528,34818.1,0.228148,-0.22048,0,-6.18571e-05,-10.5,0,-3.56667,60,2
3.45743e-05,1,0,7.88817e-06,-6.13319,34818.1,0.228151,-0.220539,0,-7.93148e-05,-9.75,0,-3.56667,61,2
3.45745e-05,1,0,7.88838e-06,-6.1333,34818.1,0.228156,-0.220579,0,-6.73789e-05,-9.375,0,-3.56667,62,2
3.4576e-05,1,0,7.88947e-06,-6.13559,34818.1,0.228177,-0.220702,0,-1.58804e-05,-8.625,0,-3.56667,63,2
3.45751e-05,1,0,7.88881e-06,-6.13402,34818.1,0.228164,-0.220634,0,-4.29615e-05,-9,0,-3.56667,64,2
3.45789e-05,1,0,7.89185e-06,-6.14062,34818.1,0.228227,-0.220864,0,3.2292e-05,-7.875,0,-3.56667,65,2
3.45773e-05,1,0,7.89043e-06,-6.13785,34818.1,0.228197,-0.22078,0,9.55183e-06,-8.25,0,-3.56667,66,2
3.4574e-05,1,0,7.88705e-06,-6.14182,33729.8,0.228121,-0.219961,-1.10208e-05,2.36145e-05,-15,0.225,-3.45833,67,2
3.45746e-05,1,0,7.88725e-06,-6.14595,33729.8,0.228122,-0.219972,0,6.93752e-05,-14.25,0,-3.45833,68,2
3.45758e-05,1,0,7.8878e-06,-6.1515,33729.8,0.228131,-0.220051,0,0.00015036,-13.5,0,-3.45833,69,2
3.45768e-05,1,0,7.88835e-06,-6.15078,33729.8,0.22814,-0.220205,0,0.000194759,-12.75,0,-3.45833,70,2
3.45774e-05,1,0,7.88873e-06,-6.14425,33729.8,0.228147,-0.220376,0,0.000171325,-12,0,-3.45833,71,2
3.45771e-05,1,0,7.88885e-06,-6.13645,33729.8,0.228152,-0.220493,0,9.30304e-05,-11.25,0,-3.45833,72,2
3.45765e-05,1,0,7.88884e-06,-6.13094,33729.8,0.228156,-0.220544,0,2.32217e-05,-10.5,0,-3.45833,73,2
3.45764e-05,1,0,7.88897e-06,-6.1279,33729.8,0.228161,-0.220567,0,1.39879e-05,-9.75,0,-3.45833,74,2
3.45766e-05,1,0,7.88918e-06,-6.12701,33729.8,0.228165,-0.220586,0,3.94807e-05,-9.375,0,-3.45833,75,2
3.45778e-05,1,0,7.89013e-06,-6.12705,33729.8,0.228185,-0.220665,0,0.000114157,-8.625,0,-3.45833,76,2
3.45771e-05,1,0,7.88956e-06,-6.12673,33729.8,0.228173,-0.220619,0,7.69416e-05,-9,0,-3.45833,77,2
3.45801e-05,1,0,7.89231e-06,-6.13019,33729.8,0.228233,-0.220789,0,0.000170633,-7.875,0,-3.45833,78,2
3.45787e-05,1,0,7.89099e-06,-6.12809,33729.8,0.228204,-0.220722,0,0.000146544,-8.25,0,-3.45833,79,2
3.45742e-05,1,0,7.88712e-06,-6.14214,32641.5,0.228122,-0.219911,-1.67605e-05,3.56163e-05,-15,0.225,-3.35,80,2
3.4575e-05,1,0,7.88737e-06,-6.14745,32641.5,0.228124,-0.219897,0,8.06698e-05,-14.25,0,-3.35,81,2
3.45765e-05,1,0,7.88805e-06,-6.15479,32641.5,0.228134,-0.21994,0,0.000148786,-13.5,0,-3.35,82,2
3.4578e-05,1,0,7.8888e-06,-6.15546,32641.5,0.228145,-0.220084,0,0.00015737,-12.75,0,-3.35,83,2
3.4579e-05,1,0,7.88937e-06,-6.15008,32641.5,0.228155,-0.220267,0,8.6566e-05,-12,0,-3.35,84,2
3.45791e-05,1,0,7.88961e-06,-6.14106,32641.5,0.228161,-0.220411,0,-2.62999e-05,-11.25,0,-3.35,85,2
3.45787e-05,1,0,7.88967e-06,-6.13354,32641.5,0.228165,-0.220484,0,-0.000113828,-10.5,0,-3.35,86,2
3.45788e-05,1,0,7.88987e-06,-6.13116,32641.5,0.228171,-0.220526,0,-0.000141078,-9.75,0,-3.35,87,2
3.45791e-05,1,0,7.89013e-06,-6.13122,32641.5,0.228176,-0.220561,0,-0.000122375,-9.375,0,-3.35,88,2
3.45803e-05,1,0,7.8911e-06,-6.13365,32641.5,0.228196,-0.220687,0,-3.86994e-05,-8.625,0,-3.35,89,2
3.45796e-05,1,0,7.89053e-06,-6.13192,32641.5,0.228184,-0.220617,0,-8.3367e-05,-9,0,-3.35,90,2
3.45822e-05,1,0,7.89313e-06,-6.13928,32641.5,0.228243,-0.220856,0,3.99874e-05,-7.875,0,-3.35,91,2
3.45811e-05,1,0,7.89191e-06,-6.13618,32641.5,0.228215,-0.220768,0,3.35317e-06,-8.25,0,-3.35,92,2
3.45745e-05,1,0,7.88725e-06,-6.14199,31553.3,0.228123,-0.219949,-1.25092e-05,3.35729e-05,-15,0.225,-3.24167,93,2
3.45755e-05,1,0,7.88756e-06,-6.14668,31553.3,0.228126,-0.219958,0,0.000101192,-14.25,0,-3.24167,94,2
3.45773e-05,1,0,7.88838e-06,-6.15282,31553.3,0.228137,-0.220041,0,0.000219793,-13.5,0,-3.24167,95,2
3.45794e-05,1,0,7.88931e-06,-6.15145,31553.3,0.228151,-0.220211,0,0.000281312,-12.75,0,-3.24167,96,2
3.4581e-05,1,0,7.89013e-06,-6.14397,31553.3,0.228164,-0.220395,0,0.000238542,-12,0,-3.24167,97,2
3.45818e-05,1,0,7.89064e-06,-6.13512,31553.3,0.228173,-0.220511,0,0.000113063,-11.25,0,-3.24167,98,2
3.4582e-05,1,0,7.89093e-06,-6.12893,31553.3,0.22818,-0.22055,0,6.44942e-06,-10.5,0,-3.24167,99,2
3.45826e-05,1,0,7.89133e-06,-6.12575,31553.3,0.228188,-0.220557,0,-9.6609e-06,-9.75,0,-3.24167,100,2
